"filename", "language", "Makefile", "smoλ", "Markdown", "C++", "YAML", "HTML", "C", "JavaScript", "Python", "PostCSS", "JSON", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/src/utils/topython.cpp", "C++", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/home/maniospas/Desktop/p4ot/smol/src/utils/topython.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/maniospas/Desktop/p4ot/smol/std/core.s", "smoλ", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 24
"/home/maniospas/Desktop/p4ot/smol/std/core/convert.s", "smoλ", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 193
"/home/maniospas/Desktop/p4ot/smol/std/core/err.s", "smoλ", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 7, 82
"/home/maniospas/Desktop/p4ot/smol/std/core/num.s", "smoλ", 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 46, 226
"/home/maniospas/Desktop/p4ot/smol/std/core/range.s", "smoλ", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 45
"/home/maniospas/Desktop/p4ot/smol/std/core/str.s", "smoλ", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 40, 285
"/home/maniospas/Desktop/p4ot/smol/std/file.s", "smoλ", 0, 346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 24, 388
"/home/maniospas/Desktop/p4ot/smol/std/html.s", "smoλ", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 25
"/home/maniospas/Desktop/p4ot/smol/std/map.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 29, 292
"/home/maniospas/Desktop/p4ot/smol/std/math.s", "smoλ", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 92
"/home/maniospas/Desktop/p4ot/smol/std/mem.s", "smoλ", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 22
"/home/maniospas/Desktop/p4ot/smol/std/mem/arena.s", "smoλ", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 27, 181
"/home/maniospas/Desktop/p4ot/smol/std/mem/device.s", "smoλ", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 16, 102
"/home/maniospas/Desktop/p4ot/smol/std/mem/grid.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 8, 65
"/home/maniospas/Desktop/p4ot/smol/std/mem/str.s", "smoλ", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 12, 145
