"filename", "language", "Markdown", "C++", "C", "smoλ", "HTML", "JavaScript", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/std/rand.s", "smoλ", 0, 0, 0, 19, 0, 0, 0, 4, 23
"/home/maniospas/Desktop/p4ot/smol/std/ray.s", "smoλ", 0, 0, 0, 12, 0, 0, 1, 4, 17
"/home/maniospas/Desktop/p4ot/smol/std/runtime/eager.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/std/runtime/threads.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/maniospas/Desktop/p4ot/smol/std/time.s", "smoλ", 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/maniospas/Desktop/p4ot/smol/std/vec.s", "smoλ", 0, 0, 0, 49, 0, 0, 0, 10, 59
"/home/maniospas/Desktop/p4ot/smol/tests/app/fib.s", "smoλ", 0, 0, 0, 17, 0, 0, 0, 6, 23
"/home/maniospas/Desktop/p4ot/smol/tests/app/file.s", "smoλ", 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/maniospas/Desktop/p4ot/smol/tests/app/index.c", "C", 0, 0, -21, 0, 0, 0, 0, 2, -19
"/home/maniospas/Desktop/p4ot/smol/tests/app/index.s", "smoλ", 0, 0, 0, -2, 0, 0, 0, 0, -2
"/home/maniospas/Desktop/p4ot/smol/tests/app/person.s", "smoλ", 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/maniospas/Desktop/p4ot/smol/tests/app/quicksort.c", "C", 0, 0, 699, 0, 0, 0, 4, 23, 726
"/home/maniospas/Desktop/p4ot/smol/tests/app/quicksort.s", "smoλ", 0, 0, 0, 75, 0, 0, 0, 13, 88
"/home/maniospas/Desktop/p4ot/smol/tests/app/ray.c", "C", 0, 0, -50, 0, 0, 0, 0, 0, -50
"/home/maniospas/Desktop/p4ot/smol/tests/app/ray.s", "smoλ", 0, 0, 0, -4, 0, 0, -1, -3, -8
"/home/maniospas/Desktop/p4ot/smol/tests/app/test.s", "smoλ", 0, 0, 0, 14, 0, 0, 0, 3, 17
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/acquire.s", "smoλ", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/banana.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, -1, 0
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/corbuffer.s", "smoλ", 0, 0, 0, 14, 0, 0, 0, 4, 18
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/coroutine", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 23
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/indent.s", "smoλ", 0, 0, 0, 6, 0, 0, 0, 1, 7
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/own.s", "smoλ", 0, 0, 0, 13, 0, 0, 0, 4, 17
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/priority.s", "smoλ", 0, 0, 0, 3, 0, 0, 0, 2, 5
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/process.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/proof.s", "smoλ", 0, 0, 0, 4, 0, 0, 0, 1, 5
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/rand.s", "smoλ", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/release_service.s", "smoλ", 0, 0, 0, -2, 0, 0, 0, 0, -2
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/serialize.s", "smoλ", 0, 0, 0, -1, 0, 0, 0, 0, -1
"/home/maniospas/Desktop/p4ot/smol/tests/qualitative/splt.s", "smoλ", 0, 0, 0, -6, 0, 0, 0, 0, -6
