"filename", "language", "Markdown", "Makefile", "JSON", "YAML", "JavaScript", "smoλ", "C++", "C", "HTML", "Python", "PostCSS", "comment", "blank", "total"
"/home/maniospas/Desktop/p4ot/smol/backup/parser/expression/parse_runtype.cpp", "C++", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 26, 8, 333
"/home/maniospas/Desktop/p4ot/smol/backup/parser/gather_tuple.cpp", "C++", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 12, 5, 121
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var.cpp", "C++", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 13, 3, 94
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_and.cpp", "C++", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 2, 82
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_at.cpp", "C++", 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 12, 5, 201
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_buffer_at.cpp", "C++", 0, 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 28, 25, 387
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_field.cpp", "C++", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 14, 4, 165
"/home/maniospas/Desktop/p4ot/smol/backup/parser/next_var/next_var_or.cpp", "C++", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 12, 2, 80
"/home/maniospas/Desktop/p4ot/smol/backup/parser/parse.cpp", "C++", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 37, 9, 262
"/home/maniospas/Desktop/p4ot/smol/backup/parser/parse_signature.cpp", "C++", 0, 0, 0, 0, 0, 0, 431, 0, 0, 0, 0, 20, 22, 473
"/home/maniospas/Desktop/p4ot/smol/backup/parser/properties/properties.cpp", "C++", 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 25, 9, 251
"/home/maniospas/Desktop/p4ot/smol/backup/parser/rebase.cpp", "C++", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 12, 4, 49
"/home/maniospas/Desktop/p4ot/smol/backup/parser/returns/map_to_return.cpp", "C++", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 17, 5, 213
"/home/maniospas/Desktop/p4ot/smol/backup/parser/returns/parse_return.cpp", "C++", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 16, 4, 89
"/home/maniospas/Desktop/p4ot/smol/backup/parser/simplify.cpp", "C++", 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 0, 26, 19, 340
"/home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/recommendations.cpp", "C++", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 14, 3, 61
"/home/maniospas/Desktop/p4ot/smol/backup/parser/tostr/signature.cpp", "C++", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 3, 6, 131
"/home/maniospas/Desktop/p4ot/smol/backup/smolang.cpp", "C++", 0, 0, 0, 0, 0, 0, 621, 0, 0, 0, 0, 38, 23, 682
"/home/maniospas/Desktop/p4ot/smol/backup/tokenize.cpp", "C++", 0, 0, 0, 0, 0, 0, 467, 0, 0, 0, 0, 31, 25, 523
"/home/maniospas/Desktop/p4ot/smol/backup/tokenize.h", "C++", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 13, 9, 63
"/home/maniospas/Desktop/p4ot/smol/backup/utils/base62.cpp", "C++", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 12, 4, 34
"/home/maniospas/Desktop/p4ot/smol/backup/utils/base62.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 12, 4, 23
"/home/maniospas/Desktop/p4ot/smol/backup/utils/common.cpp", "C++", 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 0, 17, 20, 216
"/home/maniospas/Desktop/p4ot/smol/backup/utils/common.h", "C++", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 17, 11, 61
"/home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.cpp", "C++", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 5, 40
"/home/maniospas/Desktop/p4ot/smol/backup/utils/compiler.h", "C++", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 13, 8, 55
"/home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.cpp", "C++", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 12, 3, 29
"/home/maniospas/Desktop/p4ot/smol/backup/utils/faststring.h", "C++", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 12, 7, 50
"/home/maniospas/Desktop/p4ot/smol/backup/utils/segments.h", "C++", 0, 0, 0, 0, 0, 0, 292, 0, 0, 0, 0, 45, 23, 360
"/home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.cpp", "C++", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"/home/maniospas/Desktop/p4ot/smol/backup/utils/tasks.h", "C++", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/home/maniospas/Desktop/p4ot/smol/backup/utils/topython.cpp", "C++", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"/home/maniospas/Desktop/p4ot/smol/backup/utils/topython.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"/home/maniospas/Desktop/p4ot/smol/docs/blog/2025-09-06.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 426, 0, 0, 0, 55, 481
"/home/maniospas/Desktop/p4ot/smol/docs/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 6, 14, 151
"/home/maniospas/Desktop/p4ot/smol/docs/material.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 3, 16, 152
"/home/maniospas/Desktop/p4ot/smol/docs/std.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 809, 0, 0, 0, 10, 819
"/home/maniospas/Desktop/p4ot/smol/docs/std.s", "smoλ", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/home/maniospas/Desktop/p4ot/smol/docs/tutorial.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1343, 0, 0, 8, 325, 1676
"/home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/maniospas/Desktop/p4ot/smol/lsp/README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/maniospas/Desktop/p4ot/smol/lsp/extension.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 4, 42
"/home/maniospas/Desktop/p4ot/smol/lsp/language-configuration.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/home/maniospas/Desktop/p4ot/smol/lsp/package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/home/maniospas/Desktop/p4ot/smol/lsp/server.js", "JavaScript", 0, 0, 0, 0, 559, 0, 0, 0, 0, 0, 0, 27, 44, 630
"/home/maniospas/Desktop/p4ot/smol/lsp/smol_builtins.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/maniospas/Desktop/p4ot/smol/lsp/smol_directives.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/maniospas/Desktop/p4ot/smol/lsp/smol_keywords.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/maniospas/Desktop/p4ot/smol/lsp/syntaxes/smolambda.tmLanguage.json", "JSON", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/home/maniospas/Desktop/p4ot/smol/self/console.c", "C", 0, 0, 0, 0, 0, 0, 0, 395, 0, 0, 0, 8, 20, 423
"/home/maniospas/Desktop/p4ot/smol/self/console.s", "smoλ", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"/home/maniospas/Desktop/p4ot/smol/self/main.s", "smoλ", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 6, 54
"/home/maniospas/Desktop/p4ot/smol/src/function.cpp", "C++", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 3, 23
"/home/maniospas/Desktop/p4ot/smol/src/function.h", "C++", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 7, 111
"/home/maniospas/Desktop/p4ot/smol/src/importer.cpp", "C++", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 15, 14, 205
"/home/maniospas/Desktop/p4ot/smol/src/importer.h", "C++", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 4, 63
"/home/maniospas/Desktop/p4ot/smol/src/module.cpp", "C++", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 5, 4, 128
"/home/maniospas/Desktop/p4ot/smol/src/module.h", "C++", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"/home/maniospas/Desktop/p4ot/smol/src/smol.cpp", "C++", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"/home/maniospas/Desktop/p4ot/smol/std/core.s", "smoλ", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 16, 2, 25
"/home/maniospas/Desktop/p4ot/smol/std/core/convert.s", "smoλ", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 16, 14, 208
"/home/maniospas/Desktop/p4ot/smol/std/core/err.s", "smoλ", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 17, 11, 93
"/home/maniospas/Desktop/p4ot/smol/std/core/num.s", "smoλ", 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 22, 75, 360
"/home/maniospas/Desktop/p4ot/smol/std/core/range.s", "smoλ", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 16, 9, 51
"/home/maniospas/Desktop/p4ot/smol/std/core/str.s", "smoλ", 0, 0, 0, 0, 0, 342, 0, 0, 0, 0, 0, 22, 79, 443
"/home/maniospas/Desktop/p4ot/smol/std/file.s", "smoλ", 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 0, 18, 41, 438
"/home/maniospas/Desktop/p4ot/smol/std/html.s", "smoλ", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 17, 70
"/home/maniospas/Desktop/p4ot/smol/std/map.s", "smoλ", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 26, 127
"/home/maniospas/Desktop/p4ot/smol/std/math.s", "smoλ", 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 22, 31, 179
"/home/maniospas/Desktop/p4ot/smol/std/mem.s", "smoλ", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 16, 2, 22
"/home/maniospas/Desktop/p4ot/smol/std/mem/arena.s", "smoλ", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 17, 28, 175
"/home/maniospas/Desktop/p4ot/smol/std/mem/device.s", "smoλ", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 17, 16, 117
"/home/maniospas/Desktop/p4ot/smol/std/mem/grid.s", "smoλ", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 8, 65
"/home/maniospas/Desktop/p4ot/smol/std/mem/str.s", "smoλ", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 16, 17, 167
"/home/maniospas/Desktop/p4ot/smol/std/os.s", "smoλ", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 20, 20, 168
"/home/maniospas/Desktop/p4ot/smol/std/oscommon.h", "C++", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 16, 28, 168
"/home/maniospas/Desktop/p4ot/smol/std/rand.s", "smoλ", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 22, 13, 118
"/home/maniospas/Desktop/p4ot/smol/std/ray.s", "smoλ", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 20, 25, 199
"/home/maniospas/Desktop/p4ot/smol/std/rayget.s", "smoλ", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/home/maniospas/Desktop/p4ot/smol/std/runtime/auto.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 47, 4, 58
"/home/maniospas/Desktop/p4ot/smol/std/runtime/eager.h", "C++", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 52, 26, 184
"/home/maniospas/Desktop/p4ot/smol/std/runtime/threads.h", "C++", 0, 0, 0, 0, 0, 0, 408, 0, 0, 0, 0, 77, 49, 534
"/home/maniospas/Desktop/p4ot/smol/std/time.s", "smoλ", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 17, 10, 59
